lengths,returns
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
493,-99.28794139027929
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
469,-99.09370189555086
323,-96.06873191741126
500,-99.34295169575849
437,-98.74989974279549
450,-98.90301074344663
430,-98.65878475150728
500,-99.34295169575849
380,-97.78313752316838
467,-99.07530037297303
324,-96.10804459823714
500,-99.34295169575849
278,-93.82056307679737
470,-99.10276487659536
362,-97.34352795695125
243,-91.2154990809851
416,-98.45614766853632
376,-97.69220103586353
287,-94.35497779091715
343,-96.78458856169608
500,-99.34295169575849
500,-99.34295169575849
311,-95.5648294459523
286,-94.29795736456278
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
298,-94.94579567006807
361,-97.31669490601136
500,-99.34295169575849
384,-97.87049075003682
263,-92.81509575500847
315,-95.7395928621123
287,-94.35497779091715
310,-95.52002974338616
242,-91.12676674846979
259,-92.5203684273147
500,-99.34295169575849
284,-94.18218280232912
351,-97.03299615490221
267,-93.09820965002906
421,-98.53181179426312
353,-97.09203953141964
283,-94.12341697204963
277,-93.75814452201755
245,-91.39031064927349
338,-96.6188800412349
194,-85.62550628463742
259,-92.5203684273147
444,-98.83482486885006
203,-86.86865206717108
235,-90.4800309640782
259,-92.5203684273147
346,-96.88008949682515
311,-95.5648294459523
139,-75.01629435415468
187,-84.57780482061544
274,-93.56708037627324
237,-90.66947834789305
199,-86.32999950434011
179,-83.28660649851155
207,-87.38607956980279
190,-85.03585943963833
345,-96.84857524931833
135,-73.99145386222735
195,-85.76925122179105
190,-85.03585943963833
179,-83.28660649851155
217,-88.59219646734229
189,-84.88470650468518
284,-94.18218280232912
346,-96.88008949682515
230,-89.98941257385096
208,-87.51221877410477
193,-85.48030937842164
286,-94.29795736456278
208,-87.51221877410477
164,-80.56714011172042
278,-93.82056307679737
177,-82.94725691104126
131,-72.92457404880055
233,-90.286737030995
252,-91.975206899944
222,-89.15129234922844
218,-88.70627450266886
254,-92.13490028263512
269,-93.23555527799348
261,-92.66921309561114
228,-89.78615710014383
256,-92.29141576701068
200,-86.4666995092967
153,-78.29551033271916
194,-85.62550628463742
148,-77.17695398646586
194,-85.62550628463742
188,-84.73202677240928
144,-76.24074452117063
148,-77.17695398646586
230,-89.98941257385096
172,-82.06843164052886
222,-89.15129234922844
177,-82.94725691104126
500,-99.34295169575849
359,-97.26221294358878
265,-92.95807534948379
220,-88.93101964006576
201,-86.60203251420373
145,-76.47833707595892
171,-81.88730468740289
