lengths,returns
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
363,-97.37009267738173
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
326,-96.18549451073221
398,-98.14999775584167
500,-99.34295169575849
448,-98.88073741806615
500,-99.34295169575849
500,-99.34295169575849
472,-99.12061985555111
500,-99.34295169575849
322,-96.02902213879925
500,-99.34295169575849
500,-99.34295169575849
432,-98.6854749349523
358,-97.23455852887756
500,-99.34295169575849
500,-99.34295169575849
315,-95.7395928621123
500,-99.34295169575849
473,-99.1294136569956
419,-98.50200162663312
450,-98.90301074344663
391,-98.01515822006192
251,-91.89414838378181
493,-99.28794139027929
469,-99.09370189555086
166,-80.95385402349717
431,-98.67219690399222
410,-98.36018599813717
500,-99.34295169575849
500,-99.34295169575849
272,-93.4364660506818
315,-95.7395928621123
248,-91.64602703267941
495,-99.30211135661273
261,-92.66921309561114
270,-93.30319972521355
483,-99.21265731663935
341,-96.71930268513017
290,-94.52264059554912
279,-93.8823574460294
247,-91.56164346735294
230,-89.98941257385096
384,-97.87049075003682
324,-96.10804459823714
402,-98.22289522577046
301,-95.09591059287138
148,-77.17695398646586
223,-89.25977942573616
282,-94.06405754752487
224,-89.3671816314788
148,-77.17695398646586
334,-96.48018529791197
181,-83.61920302919117
168,-81.33287232842959
242,-91.12676674846979
238,-90.76278356441412
186,-84.42202507132873
240,-90.94660417148229
170,-81.70434816909383
325,-96.14696415225477
384,-97.87049075003682
312,-95.60918115149278
284,-94.18218280232912
361,-97.31669490601136
293,-94.68532364722071
329,-96.29878913826896
275,-93.6314095725105
266,-93.02849459598896
203,-86.86865206717108
297,-94.89474310107886
286,-94.29795736456278
316,-95.78219693349118
227,-89.68298696984225
285,-94.24036097430583
318,-95.8661312145147
289,-94.4673137328779
277,-93.75814452201755
179,-83.28660649851155
269,-93.23555527799348
327,-96.2236395656249
165,-80.76146871060321
264,-92.88694479745838
182,-83.78301099889926
280,-93.9435338715691
175,-82.6010171523735
275,-93.6314095725105
166,-80.95385402349717
202,-86.7360121890617
219,-88.81921175764218
145,-76.47833707595892
234,-90.38386966068505
212,-88.00428718065213
196,-85.91155870957314
274,-93.56708037627324
224,-89.3671816314788
201,-86.60203251420373
203,-86.86865206717108
145,-76.47833707595892
265,-92.95807534948379
209,-87.63709658636373
310,-95.52002974338616
209,-87.63709658636373
251,-91.89414838378181
240,-90.94660417148229
179,-83.28660649851155
165,-80.76146871060321
206,-87.25866623212403
228,-89.78615710014383
252,-91.975206899944
282,-94.06405754752487
144,-76.24074452117063
99,-62.653571954573025
198,-86.19191869125264
