lengths,returns
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
419,-98.50200162663312
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
477,-99.16371823254947
500,-99.34295169575849
308,-95.42906820057766
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
350,-97.00302641909315
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
378,-97.73812623524985
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
397,-98.13131086448654
431,-98.67219690399222
373,-97.62155895848963
272,-93.4364660506818
291,-94.57741418959363
298,-94.94579567006807
467,-99.07530037297303
500,-99.34295169575849
297,-94.89474310107886
195,-85.76925122179105
422,-98.5464936763205
256,-92.29141576701068
500,-99.34295169575849
325,-96.14696415225477
305,-95.28915128282897
472,-99.12061985555111
500,-99.34295169575849
465,-99.05652522494952
338,-96.6188800412349
500,-99.34295169575849
486,-99.23604218167785
310,-95.52002974338616
256,-92.29141576701068
286,-94.29795736456278
351,-97.03299615490221
234,-90.38386966068505
405,-98.27567701466985
366,-97.44820355477081
328,-96.26140316996864
245,-91.39031064927349
281,-94.0040985328534
291,-94.57741418959363
455,-98.95677413217054
286,-94.29795736456278
236,-90.57523065443742
209,-87.63709658636373
265,-92.95807534948379
257,-92.36850160934057
225,-89.47350981516401
244,-91.30334409017524
425,-98.58966426764009
221,-89.0417094436651
494,-99.29506197637649
281,-94.0040985328534
252,-91.975206899944
365,-97.42242783310184
368,-97.49898430403087
320,-95.94839520334584
227,-89.68298696984225
370,-97.54875451638065
372,-97.59753430150468
282,-94.06405754752487
193,-85.48030937842164
318,-95.8661312145147
310,-95.52002974338616
325,-96.14696415225477
207,-87.38607956980279
409,-98.34362222034058
152,-78.07627306335269
285,-94.24036097430583
253,-92.05545483094456
220,-88.93101964006576
471,-99.11173722782941
307,-95.38289717230067
260,-92.59516474304155
334,-96.48018529791197
254,-92.13490028263512
179,-83.28660649851155
285,-94.24036097430583
189,-84.88470650468518
491,-99.27348371623232
335,-96.51538344493285
242,-91.12676674846979
416,-98.45614766853632
203,-86.86865206717108
121,-70.06196086876682
174,-82.42526985088233
176,-82.77500698084977
153,-78.29551033271916
191,-85.18550084524195
178,-83.11778434193086
222,-89.15129234922844
268,-93.16722755352878
209,-87.63709658636373
252,-91.975206899944
219,-88.81921175764218
137,-74.50902393036903
173,-82.24774732412357
218,-88.70627450266886
199,-86.32999950434011
170,-81.70434816909383
228,-89.78615710014383
197,-86.05244312247741
219,-88.81921175764218
148,-77.17695398646586
154,-78.51255522939196
228,-89.78615710014383
190,-85.03585943963833
