lengths,returns
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
458,-98.98775898367094
500,-99.34295169575849
483,-99.21265731663935
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
455,-98.95677413217054
371,-97.57326697121685
500,-99.34295169575849
500,-99.34295169575849
487,-99.24368175986106
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
471,-99.11173722782941
500,-99.34295169575849
500,-99.34295169575849
439,-98.77477673791385
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
380,-97.78313752316838
407,-98.30999104207793
417,-98.47158619185096
234,-90.38386966068505
500,-99.34295169575849
382,-97.82725308645732
321,-95.98891125131237
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
366,-97.44820355477081
268,-93.16722755352878
306,-95.33625977000068
351,-97.03299615490221
455,-98.95677413217054
427,-98.61772994871404
392,-98.0350066378613
461,-99.01782355409692
411,-98.37658413815579
321,-95.98891125131237
313,-95.65308933997785
464,-99.04699517671669
294,-94.7384704107485
255,-92.21355127980877
353,-97.09203953141964
356,-97.17840886529696
500,-99.34295169575849
242,-91.12676674846979
264,-92.88694479745838
261,-92.66921309561114
360,-97.28959081415289
287,-94.35497779091715
247,-91.56164346735294
500,-99.34295169575849
288,-94.41142801300798
333,-96.4446316140525
342,-96.75210965827887
318,-95.8661312145147
364,-97.39639175060792
392,-98.0350066378613
180,-83.45374043352643
232,-90.18862326363131
161,-79.97229731425098
362,-97.34352795695125
318,-95.8661312145147
247,-91.56164346735294
186,-84.42202507132873
500,-99.34295169575849
359,-97.26221294358878
282,-94.06405754752487
119,-69.4540974071695
242,-91.12676674846979
318,-95.8661312145147
213,-88.1242443088456
236,-90.57523065443742
194,-85.62550628463742
272,-93.4364660506818
245,-91.39031064927349
394,-98.07411000576785
211,-87.88311836429509
449,-98.89193004388548
245,-91.39031064927349
211,-87.88311836429509
166,-80.95385402349717
261,-92.66921309561114
180,-83.45374043352643
232,-90.18862326363131
234,-90.38386966068505
248,-91.64602703267941
271,-93.37016772796142
168,-81.33287232842959
228,-89.78615710014383
190,-85.03585943963833
209,-87.63709658636373
212,-88.00428718065213
236,-90.57523065443742
201,-86.60203251420373
308,-95.42906820057766
193,-85.48030937842164
253,-92.05545483094456
328,-96.26140316996864
218,-88.70627450266886
190,-85.03585943963833
188,-84.73202677240928
163,-80.37084859769739
195,-85.76925122179105
