lengths,returns
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.33631484420049
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
498,-99.32283934720996
500,-99.34295169575849
407,-98.30999104207793
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
500,-99.34295169575849
401,-98.20494467249542
500,-99.34295169575849
356,-97.17840886529696
500,-99.34295169575849
500,-99.34295169575849
283,-94.12341697204963
244,-91.30334409017524
450,-98.90301074344663
291,-94.57741418959363
288,-94.41142801300798
298,-94.94579567006807
297,-94.89474310107886
280,-93.9435338715691
360,-97.28959081415289
368,-97.49898430403087
212,-88.00428718065213
238,-90.76278356441412
442,-98.81116709402109
301,-95.09591059287138
238,-90.76278356441412
307,-95.38289717230067
238,-90.76278356441412
224,-89.3671816314788
326,-96.18549451073221
331,-96.3724432344174
470,-99.10276487659536
388,-97.95440191122728
241,-91.03713812976747
316,-95.78219693349118
226,-89.57877471701237
360,-97.28959081415289
246,-91.47640754278075
225,-89.47350981516401
196,-85.91155870957314
290,-94.52264059554912
148,-77.17695398646586
315,-95.7395928621123
313,-95.65308933997785
367,-97.4737215192231
231,-90.08951844811244
366,-97.44820355477081
235,-90.4800309640782
266,-93.02849459598896
250,-91.8122710947291
142,-75.75833539554192
368,-97.49898430403087
208,-87.51221877410477
159,-79.56565382537597
210,-87.76072562050008
196,-85.91155870957314
269,-93.23555527799348
326,-96.18549451073221
279,-93.8823574460294
289,-94.4673137328779
228,-89.78615710014383
280,-93.9435338715691
233,-90.286737030995
266,-93.02849459598896
308,-95.42906820057766
242,-91.12676674846979
234,-90.38386966068505
221,-89.0417094436651
331,-96.3724432344174
268,-93.16722755352878
332,-96.40871880207322
169,-81.51954360514529
278,-93.82056307679737
202,-86.7360121890617
220,-88.93101964006576
289,-94.4673137328779
187,-84.57780482061544
174,-82.42526985088233
306,-95.33625977000068
187,-84.57780482061544
196,-85.91155870957314
304,-95.2415669523525
162,-80.17257434110847
196,-85.91155870957314
229,-89.88829552914238
233,-90.286737030995
169,-81.51954360514529
210,-87.76072562050008
214,-88.24300186575715
185,-84.26467178922094
234,-90.38386966068505
202,-86.7360121890617
110,-66.56231431100866
216,-88.47696612862858
256,-92.29141576701068
240,-90.94660417148229
195,-85.76925122179105
331,-96.3724432344174
187,-84.57780482061544
161,-79.97229731425098
243,-91.2154990809851
201,-86.60203251420373
