lengths,returns
95,-118.63850385810406
108,-151.31627129232825
63,-38.64482443211193
92,-105.46685814608968
107,-132.67765963183305
85,-26.64227481842202
97,-106.7062114413263
115,-32.01502991782273
96,-189.7351664141297
72,-116.40241902974203
103,-40.61522032510656
96,-103.34591538670873
88,-15.804901978633328
109,-39.750846552743816
102,-195.14675029821674
127,-31.478068318772117
100,-92.22252856082163
75,-32.390118351909955
62,-135.57347405334784
92,-16.17761506117052
105,-139.9560788549468
117,-38.45204528046846
65,-61.66907850930486
181,-45.18008310865655
80,-91.51293356060688
100,-163.47730359497066
64,-60.44080726149909
118,-102.50383025537316
74,-88.05115939795124
69,-83.65633227558446
137,-38.899848398192084
65,-53.3678314557822
60,-56.03526542766586
99,-74.54828443138193
90,-125.08687733886953
82,-32.33718067323186
98,-53.09611661238825
72,-41.732531080701726
118,-103.19412929402598
126,-110.07145504597331
149,-86.93948206655085
107,-34.47289834502755
100,-134.96545170918978
119,-40.37352869666263
94,-73.90416090357058
68,-81.92246231093047
88,-162.74089785277002
89,-105.18143858244699
98,-50.36696336346137
80,-90.12974503138605
71,-35.159666473323625
126,-25.1203770774159
86,-133.10400353190616
100,-71.75123357308622
74,-38.0369401345711
118,-84.0251036404706
93,-209.23199916459365
122,-94.10944398244993
76,-55.27136970549168
70,-43.25048723056319
74,-114.37428450427612
126,-95.2354910509271
121,-71.0840552461243
70,-37.92102854607061
77,-43.07644496606331
70,-106.30609296628245
103,-80.00047787088515
76,-67.90645139032321
100,-40.68505160667631
94,-70.11828789034622
101,-64.42211316323647
73,-62.874093911842756
69,25.73190003491106
122,-37.169853019426256
102,-150.9506395985819
94,-39.88343531531979
126,-115.70796755403715
92,-139.22375506210722
69,-49.98366720021774
119,-129.18487087904552
98,-74.53563879024239
140,-35.64130614933318
108,-97.85268887493164
117,-85.6978642848241
149,-47.394433474010555
95,-59.82265480721339
71,-28.356571647103078
113,-63.92648233113961
117,-72.62608270242511
114,-145.7979652388468
105,-52.66442704977709
68,-68.3130533621684
122,-54.06591156666487
98,-54.44973594781504
117,-57.335541123108506
109,-37.71100397217633
83,-140.73611864091757
102,22.702665937060257
132,-39.691911516011096
110,-64.47940154609869
113,-47.60379350634519
