lengths,returns
101,-38.822312851250864
62,-62.38938184295472
64,-12.50740028565153
66,-47.06537712845446
64,-43.91722757308425
96,-59.8471678172489
75,-65.64654224546058
86,-216.8769377414422
60,-82.59915732979317
72,-34.65738312088457
121,-66.3056498662257
67,-80.399426204165
110,-101.45569942045151
85,-154.544458954929
118,-84.97679151131267
100,-5.3856058859476645
75,-28.682598613088523
79,-182.49139133282506
73,-4.183721823281658
72,-56.230584459767776
76,-51.139724503597996
77,-38.29693548994169
59,-80.74396535226619
69,-30.697565834332632
96,-103.504576659617
136,-26.207187363438017
96,-20.88088655973651
73,-39.15255254680776
105,-67.68003832125865
66,-44.58708324393069
107,-47.78627714152511
137,-94.14476144725306
101,-126.50228342261214
92,-51.14195552225389
61,-67.24428749707926
136,-48.341089875932305
59,-49.546895704819036
90,-96.15781977001197
76,-42.396429452349324
69,-50.43214909546833
118,-65.58407239888228
103,-98.80756102234314
91,-31.790607945456586
104,-170.67782713420388
83,-65.17774343281057
80,-105.19720487083096
106,-204.531698508859
127,-76.0365807804686
113,-25.82286760054577
84,-85.40566581937541
73,-36.235857764576714
69,-17.014361313686454
102,-54.67708398602901
88,-48.03571275195047
118,-76.43419525935
110,-75.21734603644147
62,-45.681649162096484
126,-131.04717667330218
84,-70.48399217038077
99,-141.9052474767313
91,-120.93546445541531
65,-27.092575709007154
107,-40.05539427774909
108,-114.02407893564035
111,-35.145118593278035
128,-84.9307625248011
110,-98.14869609351679
124,-64.27229969901822
124,-30.53095900741116
123,-129.2897496039269
103,-23.904973597551763
106,-8.634993690521375
87,-30.462673407752074
123,-50.723996141108046
67,-90.4514286188295
88,-56.835447755632515
108,-63.3816881945258
87,-60.89248508250029
119,-47.17434948079474
77,-40.29892060646139
93,-52.22910048257602
104,-62.573406404075556
64,-198.0617875616839
151,-119.89760447750443
123,-65.02404489998109
103,-78.89004890350063
121,-35.51853483729349
85,-13.166511327799798
85,-68.292825398269
93,-32.01187913692693
109,-69.50550014561229
145,-85.81301940194119
70,-86.18541597552262
119,-86.87550346359721
115,-68.82211428973571
97,-93.218467849343
100,-32.81039445508199
86,-36.4348002495387
106,-32.44369939115874
97,-47.78320671222109
152,-6.992155217866859
93,-24.60230891295817
81,-36.662725043741105
105,-30.023864330266544
83,-40.15861657681816
147,-69.39014020881956
121,-110.73196261281558
81,-145.18539161188596
114,-89.33809855979659
105,-10.8802998604453
102,-116.69221977258354
104,-30.474209736576235
101,-160.20292023586717
65,-31.214327292291244
112,-57.25692729025773
72,-56.347913989566635
122,-37.60859880075848
129,-24.683378076826024
135,-41.714663719451146
109,-39.045033269153514
107,-108.8133665870569
74,-77.19349999236039
71,-62.42267151582065
80,-38.527371373395276
108,-47.380460235704604
103,-65.91435417847957
85,-82.05350089700306
95,-36.48064565037823
71,-33.98821848739137
125,-54.91051786346748
107,-61.845173342006454
122,-89.50923217050287
79,-53.833643194529536
103,-10.098675269571409
124,-78.14515791211805
98,-50.96681726545072
118,-40.54001414541158
111,-39.28711589103975
72,-23.985492161295305
101,-76.46365371536811
86,-24.327265109398716
104,-130.91733004388274
139,-43.86159441228323
99,-42.83470234235975
102,-38.866749271220336
120,-57.593549410033866
110,-48.17434139240668
64,-84.6891152462329
99,-53.94585142520564
117,-146.53946190532568
74,-37.13115121761954
86,-62.57115005381117
135,-54.232698750231364
76,-64.66045701088626
140,-2.5201419594516024
75,-76.29405952627766
104,-44.1555400803606
65,-194.0898404099209
129,-31.599119727223368
114,-68.72326330392052
125,-14.225779390739813
104,-156.98457280288997
82,-24.34342949643925
65,-53.39477185185766
77,-18.30637128242046
139,-72.14410782875554
126,-80.73141895664966
106,-42.40223971097085
88,-43.62790425557992
109,-38.21153166345221
136,-11.90291077800517
135,-18.978021416717148
106,-28.170887040049216
119,-14.436834446954277
83,-29.25247712833551
112,-77.6016192105314
98,-71.38635846744606
103,-81.22919287835236
109,-68.92997650369335
77,-34.61705515828796
127,-78.63418911807067
155,-26.11726142951878
73,-41.37475520347341
158,-1.3086323030127776
135,-24.518935926941907
112,-12.340308934636242
66,-39.2699715187448
112,-102.27906112847859
108,-56.013996865538104
114,-59.477007037004405
86,-75.37811830448855
121,-51.4917280572618
129,-66.8971584788647
111,-56.96504385555299
150,-23.262751061789988
129,-38.09966958630269
91,-37.40367121363058
124,-100.98616153857466
99,-24.55286845336928
85,-27.23663911029725
107,-2.5564854877567837
123,4.288995869403614
99,-70.67614599314993
150,-83.77240028556895
152,-4.681345841215732
91,-38.2772390982255
147,-15.257049564602735
106,-52.08521554271676
194,-3.9697764936848072
94,-59.1422531799891
93,-23.465101427392625
104,-49.27434939097215
133,-73.30302289201911
112,-47.0488245354887
154,-63.02934873923552
117,-44.52985451467855
135,-31.759485001162165
125,-38.827082516296194
78,-70.81030374892671
121,-9.711357427176335
131,-41.5330400158165
140,-46.82845842506957
109,-55.868899012668884
104,-40.724635794034874
107,-50.58526584922488
73,-7.8751670376719165
173,6.648942219890059
105,-13.3434074180865
104,-10.114607202161986
103,-57.70364612684386
121,14.104699776466944
112,3.9791401101269264
117,-15.529422934072109
142,-22.08402631693566
103,-118.12374107996582
108,-40.51814684624486
111,-63.006923979937255
116,-89.51956508776225
168,-76.23760659383554
132,-4.928950814408179
139,-98.53499726138655
109,-74.73064146299807
122,-62.32118939555971
101,-29.461357401349478
143,-21.333495663085117
133,4.053741723081121
121,-23.06245565812845
148,5.601876291053624
109,-53.59707281118426
134,-90.70370827329741
85,-36.711679361423435
91,-30.4625666784894
142,-14.847343947599319
175,23.348783219768723
169,-8.473391358882115
99,-9.463459971779484
115,-31.94096417936671
140,-30.495263389140508
62,-35.51510694398394
106,-21.237152220930934
134,-31.451892422751932
132,-45.36444779733219
123,-33.66139517524782
92,-33.311299575463
138,-47.59334923584493
114,-91.86898727100754
107,-37.64050526158826
86,-32.2474385938185
139,-18.008432055338552
121,36.012491112358894
128,-53.304590552311275
111,-9.078611660926903
132,-44.265037961212556
74,-61.963617627719145
80,-24.426368748577573
130,-0.03680306746094708
180,-13.588659982818255
181,-16.293950216545543
88,-82.73213213601568
97,-23.188024336530862
98,3.117950446132493
111,-46.343179688530476
161,-10.87993201668082
158,-4.183511575936702
158,14.056314967628763
121,-26.30174165822103
94,-38.688735646880446
189,1.4829561036712648
197,20.666621906335255
125,-42.265611439378226
183,-19.233460289089233
272,15.838639615318787
88,-33.154366105379346
117,-36.23057413412347
110,-45.12915903046753
94,-3.9690250202067165
104,-75.64278705245083
101,-44.17554491917143
170,4.4354314977117255
92,-12.478469805117898
122,-48.723074558873996
90,-35.71215235291923
150,-45.846949663634405
87,-33.073284062776494
184,-2.045687107392861
105,15.76208006034677
116,-21.058351708607304
179,-5.7717547024117035
133,-24.084875664869514
117,-51.80951554663753
122,24.851479606514026
113,-49.51421016964137
131,-12.018335135329322
135,-34.642875559798675
112,9.450942078669955
77,-26.751607409912054
119,-31.042617525585197
197,-12.428395736621539
172,-0.9173840501217101
90,-62.0073197747667
144,-2.449710125730996
165,20.906645876819436
98,-68.74767717798042
91,-5.0432801649873245
85,-21.001821192932862
143,-11.985203398812496
101,7.902049224487616
124,-54.765575863935766
196,10.967231930555466
196,6.178819251621727
144,-1.8742231967012495
163,-12.87860964532734
119,-68.27422326150848
162,-32.89872804170356
110,-22.047926521456045
77,-36.22334443827934
84,-23.828154864092735
215,-9.533886819597583
118,-32.10330210916764
133,-37.07478696686347
187,-18.152600435737767
80,-82.39174334493894
141,-2.1695851646841686
117,-30.130587224743387
140,2.989721355501069
112,-41.513950118251095
176,-17.74581877724741
130,-39.44507622005407
203,-12.322432964175494
154,-33.74802178506244
94,16.53141655179162
125,-37.592450840386554
98,-16.78124860008401
246,-25.463040840050006
121,-30.601946254012258
487,23.334874364406495
253,-1.2399394820170633
207,24.11984581220894
318,27.35530450229298
146,-19.736254211315494
177,12.666785182154355
174,3.706282131164574
204,6.528313093137679
225,13.77370314793747
176,10.699750870524912
164,5.316015437462575
96,-17.53630716733192
171,-3.9327802611533595
121,-9.834303224771539
166,-21.44686868471397
106,1.0263805660578915
174,-15.259480164039948
109,-12.446299352739663
163,-1.4225594681549605
433,18.63001283007745
135,-7.181637874804401
208,2.300906856655348
209,-2.5529539917703428
122,-29.516634173661107
226,7.835880063653949
689,30.675169137333135
115,-51.04238472080468
110,11.635351882719347
166,-6.993979817377248
344,29.857671803201736
264,17.52932971357374
170,3.6875965758478984
165,14.703421201214653
146,0.14369633373029655
133,6.702083663692093
272,12.8100203661966
201,24.070175619325756
271,16.82389239167212
107,-97.02734417905215
154,-7.222639048890856
113,24.196781174501943
80,-39.98594242714094
208,-0.522882588793729
811,32.88407797438317
417,13.18525867822368
194,9.593896536863234
146,-16.46633145772455
234,24.8695036159694
1000,25.264119272655872
85,-17.15236183617602
252,-3.9210909620053904
157,-39.944472494771354
324,47.31880589036254
1000,14.753011768186266
198,-9.031478721154581
1000,43.86404558610624
242,14.414541848496166
239,12.028200846617048
156,0.8389076062388533
208,-11.842765310433187
217,-2.6576440770652026
117,-6.982418810795538
760,18.41540593418823
219,-13.398065872183693
423,9.998658539215127
137,28.332787455489772
363,21.76304645928072
334,19.868375077652395
1000,29.911054620147983
1000,56.644401063966704
162,-4.544822745612156
1000,21.15581726804297
251,15.310426695869317
172,-43.014745039399905
272,17.434352131611714
1000,35.591660842302424
1000,50.12663645034795
253,36.274378799954334
1000,23.313515776322593
325,56.41803400401125
