lengths,returns
71,-57.309505170288084
117,-65.7881282279698
76,-166.52933425148504
89,-51.26279787377992
77,-140.77029051137984
75,-61.648114842465965
83,-214.5136302306459
80,1.1651048718356036
100,-130.55867892767503
115,-61.14961608058244
102,-52.69045182263188
93,-79.22314270234713
69,-29.296303924370445
79,-31.67530879224854
85,-90.52516340244982
85,-42.616378571184235
89,-138.064318375052
62,-59.42839332341916
108,-68.7806810465462
65,-62.097939448884
64,-68.16672895908448
103,-243.27480614922632
92,-192.02893746579898
68,-105.72593772494767
78,-22.560803597503707
118,-51.66911635807603
81,-131.1060292657716
131,-29.910141153230946
146,-39.61807253205377
89,-63.72091944526628
72,-23.87256230614114
120,-114.77430058204841
69,-118.75162047326779
134,-100.35510818282381
101,-45.524254427739386
88,7.520140690840556
67,-19.780903291904647
72,-41.487130988389175
202,-35.770978282274626
133,-97.32540355646778
115,-49.72811399150195
87,-9.20171808496778
64,-26.390439325905735
96,-121.95751457276175
66,-149.03959511595238
133,-81.17060561845562
66,-34.273537900160385
63,-60.79090658183535
75,-87.75635477459814
85,-140.33045656050462
91,-39.86860433320356
63,-33.41536719543756
119,-79.09992324976997
134,-57.33270291967401
89,-6.203630407110372
161,-6.885126341495439
122,-4.547520696290367
122,-95.60524479872093
107,-11.576837311214728
86,-69.53099609001576
60,-53.96241886367525
126,-150.37367049654364
109,-95.34943931935648
77,-67.81864293591794
68,-120.9591108863328
88,-24.4056095882054
119,-39.44138381723427
95,-73.82194989944998
94,-156.84582674420778
105,-51.722466029656985
88,-44.644364173300666
99,-115.98794591669702
89,-57.012167158435616
72,-14.201253542557323
134,-133.05367082030605
114,-88.70571228783577
118,-18.438998283384954
114,-50.323081023361254
191,6.681631131027432
97,-99.68585438043904
79,-22.140854997993838
97,-64.53121594301757
84,-64.34350476244973
90,-139.19212923436555
76,-63.2701935844249
103,-76.0918124622501
84,-29.805928769219275
72,-140.27979902705775
130,-51.177458413176424
82,-43.72696923107263
147,-56.10708111382272
99,-47.56575968786529
80,-15.523892234037083
135,-43.80421325757855
90,-85.97948224086758
79,39.791470402216376
136,-16.869859907381326
112,-85.8436933028604
125,-43.282762211523554
125,-48.552710042509
108,-216.0882594708977
103,-37.183731815019435
100,-64.50337723073905
125,-83.45183644710119
80,-48.5711141373526
78,-35.70198552851455
95,-174.87695202250853
73,-52.7188111234985
151,-18.614340612199108
72,-57.057808085929956
128,-65.21127801658147
63,-116.55290111022451
99,17.11664746084183
111,-60.072173976144185
129,-69.57608504891196
66,-76.46582478874679
77,-34.395402556339356
161,-8.51806245660084
101,-28.990079939304366
116,-50.81041686505872
111,-159.87094046979752
121,-27.098396104513032
99,-53.492766421586225
69,-34.35641994549705
